Adresse [Zählpunktnummer];;;Adresse [Zählpunktnummer];;
Zählpunktnummer;;;Zählpunktnummer;;
Strom - Wirkenergie (kWh);;;Strom - Wirkenergie (kWh);;
kWh;;;kWh;;
DATE_FROM;DATE_TO;VALUE;DATE_FROM;DATE_TO;VALUE
03.10.2023 20:00:00;03.10.2023 20:14:59;0;;;
03.10.2023 20:15:00;03.10.2023 20:29:59;0,001;;;
03.10.2023 20:30:00;03.10.2023 20:44:59;0;;;
03.10.2023 20:45:00;03.10.2023 20:59:59;0;;;
03.10.2023 21:00:00;03.10.2023 21:14:59;0;;;
03.10.2023 21:15:00;03.10.2023 21:29:59;0,001;;;
03.10.2023 21:30:00;03.10.2023 21:44:59;0;;;
03.10.2023 21:45:00;03.10.2023 21:59:59;0;;;
03.10.2023 22:00:00;03.10.2023 22:14:59;0;;;
03.10.2023 22:15:00;03.10.2023 22:29:59;0,021;;;
03.10.2023 22:30:00;03.10.2023 22:44:59;0,008;;;
03.10.2023 22:45:00;03.10.2023 22:59:59;0,002;;;
03.10.2023 23:00:00;03.10.2023 23:14:59;0,003;;;
03.10.2023 23:15:00;03.10.2023 23:29:59;0,005;;;
03.10.2023 23:30:00;03.10.2023 23:44:59;0,002;;;
03.10.2023 23:45:00;03.10.2023 23:59:59;0,005;;;
04.10.2023 00:00:00;04.10.2023 00:14:59;0,002;;;
04.10.2023 00:15:00;04.10.2023 00:29:59;0,004;;;
04.10.2023 00:30:00;04.10.2023 00:44:59;0,003;;;
04.10.2023 00:45:00;04.10.2023 00:59:59;0,005;;;
04.10.2023 01:00:00;04.10.2023 01:14:59;0,018;;;
04.10.2023 01:15:00;04.10.2023 01:29:59;0,039;;;
04.10.2023 01:30:00;04.10.2023 01:44:59;0,042;;;
04.10.2023 01:45:00;04.10.2023 01:59:59;0,051;;;
04.10.2023 02:00:00;04.10.2023 02:14:59;0,034;;;
04.10.2023 02:15:00;04.10.2023 02:29:59;0,044;;;
04.10.2023 02:30:00;04.10.2023 02:44:59;0,047;;;
04.10.2023 02:45:00;04.10.2023 02:59:59;0,044;;;
04.10.2023 03:00:00;04.10.2023 03:14:59;0,055;;;
04.10.2023 03:15:00;04.10.2023 03:29:59;0,036;;;
04.10.2023 03:30:00;04.10.2023 03:44:59;0,041;;;
04.10.2023 03:45:00;04.10.2023 03:59:59;0,047;;;
04.10.2023 04:00:00;04.10.2023 04:14:59;0,046;;;
04.10.2023 04:15:00;04.10.2023 04:29:59;0,052;;;
04.10.2023 04:30:00;04.10.2023 04:44:59;0,044;;;
04.10.2023 04:45:00;04.10.2023 04:59:59;0,039;;;
04.10.2023 05:00:00;04.10.2023 05:14:59;0,048;;;
04.10.2023 05:15:00;04.10.2023 05:29:59;0,045;;;
04.10.2023 05:30:00;04.10.2023 05:44:59;0,052;;;
04.10.2023 05:45:00;04.10.2023 05:59:59;0,041;;;
04.10.2023 06:00:00;04.10.2023 06:14:59;0,04;;;
04.10.2023 06:15:00;04.10.2023 06:29:59;0,046;;;
04.10.2023 06:30:00;04.10.2023 06:44:59;0,074;;;
04.10.2023 06:45:00;04.10.2023 06:59:59;0,164;;;
04.10.2023 07:00:00;04.10.2023 07:14:59;0,093;;;
04.10.2023 07:15:00;04.10.2023 07:29:59;0,185;;;
04.10.2023 07:30:00;04.10.2023 07:44:59;0,103;;;
04.10.2023 07:45:00;04.10.2023 07:59:59;0,1;;;
04.10.2023 08:00:00;04.10.2023 08:14:59;0,088;;;
04.10.2023 08:15:00;04.10.2023 08:29:59;0,087;;;
04.10.2023 08:30:00;04.10.2023 08:44:59;0,073;;;
04.10.2023 08:45:00;04.10.2023 08:59:59;0,065;;;
04.10.2023 09:00:00;04.10.2023 09:14:59;0,059;;;
04.10.2023 09:15:00;04.10.2023 09:29:59;0,002;;;
04.10.2023 09:30:00;04.10.2023 09:44:59;0,001;;;
04.10.2023 09:45:00;04.10.2023 09:59:59;0,001;;;
04.10.2023 10:00:00;04.10.2023 10:14:59;0,003;;;
04.10.2023 10:15:00;04.10.2023 10:29:59;0,025;;;
04.10.2023 10:30:00;04.10.2023 10:44:59;0;;;
04.10.2023 10:45:00;04.10.2023 10:59:59;0;;;
04.10.2023 11:00:00;04.10.2023 11:14:59;0,001;;;
04.10.2023 11:15:00;04.10.2023 11:29:59;0,004;;;
04.10.2023 11:30:00;04.10.2023 11:44:59;0;;;
04.10.2023 11:45:00;04.10.2023 11:59:59;0,003;;;
04.10.2023 12:00:00;04.10.2023 12:14:59;0,001;;;
04.10.2023 12:15:00;04.10.2023 12:29:59;0;;;
04.10.2023 12:30:00;04.10.2023 12:44:59;0,065;;;
04.10.2023 12:45:00;04.10.2023 12:59:59;0;;;
04.10.2023 13:00:00;04.10.2023 13:14:59;0,268;;;
04.10.2023 13:15:00;04.10.2023 13:29:59;0,549;;;
04.10.2023 13:30:00;04.10.2023 13:44:59;0,001;;;
04.10.2023 13:45:00;04.10.2023 13:59:59;0;;;
04.10.2023 14:00:00;04.10.2023 14:14:59;0,001;;;
04.10.2023 14:15:00;04.10.2023 14:29:59;0;;;
04.10.2023 14:30:00;04.10.2023 14:44:59;0;;;
